Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
90.694	688.00	485.47	0.0020599	-98.511	43.208	-1.0563	2.2949	3.2033	1890.7	-0.052772	0.00045227	0.26287	liquid
107.69	688.00	469.36	0.0021306	-49.123	97.460	-0.50802	2.2159	3.1834	1798.5	-0.052529	0.00023725	0.24795	liquid
108.69	688.00	468.42	0.0021348	-46.233	100.64	-0.47860	2.2118	3.1827	1792.9	-0.052498	0.00023055	0.24698	liquid
109.69	688.00	467.49	0.0021391	-43.345	103.83	-0.44945	2.2078	3.1820	1787.4	-0.052467	0.00022421	0.24599	liquid
110.69	688.00	466.55	0.0021434	-40.458	107.01	-0.42058	2.2039	3.1812	1781.9	-0.052434	0.00021822	0.24500	liquid
111.69	688.00	465.62	0.0021477	-37.573	110.19	-0.39197	2.1999	3.1805	1776.4	-0.052400	0.00021254	0.24401	liquid
112.69	688.00	464.68	0.0021520	-34.690	113.37	-0.36363	2.1960	3.1798	1770.9	-0.052366	0.00020716	0.24300	liquid
113.69	688.00	463.75	0.0021563	-31.808	116.55	-0.33554	2.1921	3.1791	1765.4	-0.052330	0.00020205	0.24200	liquid
114.69	688.00	462.82	0.0021607	-28.928	119.73	-0.30770	2.1882	3.1783	1760.0	-0.052294	0.00019720	0.24099	liquid
115.69	688.00	461.89	0.0021650	-26.049	122.90	-0.28012	2.1844	3.1776	1754.5	-0.052257	0.00019259	0.23997	liquid
116.69	688.00	460.96	0.0021694	-23.173	126.08	-0.25277	2.1805	3.1768	1749.0	-0.052219	0.00018819	0.23896	liquid
117.69	688.00	460.03	0.0021738	-20.298	129.26	-0.22567	2.1767	3.1761	1743.5	-0.052180	0.00018401	0.23793	liquid
118.69	688.00	459.10	0.0021782	-17.424	132.43	-0.19880	2.1729	3.1753	1738.1	-0.052141	0.00018002	0.23691	liquid
119.69	688.00	458.17	0.0021826	-14.553	135.61	-0.17216	2.1691	3.1745	1732.6	-0.052100	0.00017620	0.23588	liquid
120.69	688.00	457.25	0.0021870	-11.683	138.78	-0.14575	2.1654	3.1737	1727.2	-0.052059	0.00017256	0.23486	liquid
121.69	688.00	456.32	0.0021914	-8.8152	141.96	-0.11957	2.1617	3.1729	1721.8	-0.052018	0.00016908	0.23383	liquid
122.69	688.00	455.40	0.0021959	-5.9489	145.13	-0.093607	2.1579	3.1721	1716.4	-0.051975	0.00016575	0.23280	liquid
123.69	688.00	454.47	0.0022004	-3.0845	148.30	-0.067861	2.1542	3.1713	1711.0	-0.051932	0.00016255	0.23176	liquid
124.69	688.00	453.55	0.0022048	-0.22197	151.47	-0.042329	2.1506	3.1705	1705.6	-0.051887	0.00015949	0.23073	liquid
125.69	688.00	452.62	0.0022093	2.6387	154.64	-0.017007	2.1469	3.1697	1700.2	-0.051842	0.00015655	0.22970	liquid
126.69	688.00	451.70	0.0022138	5.4976	157.81	0.0081067	2.1433	3.1688	1694.8	-0.051796	0.00015373	0.22866	liquid
127.69	688.00	450.78	0.0022184	8.3546	160.98	0.033017	2.1396	3.1680	1689.5	-0.051750	0.00015101	0.22763	liquid
128.69	688.00	449.86	0.0022229	11.210	164.15	0.057726	2.1361	3.1671	1684.2	-0.051702	0.00014840	0.22660	liquid
129.69	688.00	448.94	0.0022275	14.063	167.31	0.082237	2.1325	3.1662	1678.8	-0.051654	0.00014589	0.22557	liquid
130.69	688.00	448.02	0.0022320	16.914	170.48	0.10655	2.1289	3.1654	1673.5	-0.051605	0.00014347	0.22453	liquid
131.69	688.00	447.10	0.0022366	19.763	173.64	0.13068	2.1254	3.1645	1668.2	-0.051555	0.00014113	0.22350	liquid
132.69	688.00	446.18	0.0022412	22.611	176.81	0.15461	2.1219	3.1636	1663.0	-0.051504	0.00013888	0.22247	liquid
133.69	688.00	445.26	0.0022459	25.456	179.97	0.17836	2.1184	3.1627	1657.7	-0.051452	0.00013671	0.22145	liquid
134.69	688.00	444.35	0.0022505	28.300	183.13	0.20193	2.1149	3.1618	1652.4	-0.051400	0.00013461	0.22042	liquid
135.69	688.00	443.43	0.0022551	31.141	186.29	0.22531	2.1115	3.1609	1647.2	-0.051346	0.00013258	0.21940	liquid
136.69	688.00	442.52	0.0022598	33.980	189.46	0.24852	2.1080	3.1600	1642.0	-0.051292	0.00013061	0.21837	liquid
137.69	688.00	441.60	0.0022645	36.818	192.61	0.27155	2.1046	3.1591	1636.8	-0.051236	0.00012871	0.21735	liquid
138.69	688.00	440.69	0.0022692	39.653	195.77	0.29440	2.1013	3.1582	1631.6	-0.051180	0.00012687	0.21633	liquid
139.69	688.00	439.77	0.0022739	42.487	198.93	0.31709	2.0979	3.1573	1626.4	-0.051123	0.00012509	0.21532	liquid
140.69	688.00	438.86	0.0022786	45.318	202.09	0.33961	2.0946	3.1564	1621.3	-0.051064	0.00012336	0.21431	liquid
141.69	688.00	437.95	0.0022834	48.147	205.24	0.36196	2.0913	3.1555	1616.2	-0.051005	0.00012168	0.21330	liquid
142.69	688.00	437.03	0.0022881	50.974	208.40	0.38415	2.0880	3.1546	1611.0	-0.050945	0.00012005	0.21229	liquid
143.69	688.00	436.12	0.0022929	53.800	211.55	0.40617	2.0847	3.1537	1605.9	-0.050884	0.00011847	0.21128	liquid
144.69	688.00	435.21	0.0022977	56.623	214.71	0.42804	2.0815	3.1527	1600.9	-0.050821	0.00011693	0.21028	liquid
145.69	688.00	434.30	0.0023025	59.444	217.86	0.44975	2.0783	3.1518	1595.8	-0.050758	0.00011544	0.20929	liquid
146.69	688.00	433.39	0.0023074	62.263	221.01	0.47131	2.0751	3.1509	1590.7	-0.050694	0.00011399	0.20829	liquid
147.69	688.00	432.48	0.0023122	65.080	224.16	0.49271	2.0720	3.1500	1585.7	-0.050629	0.00011257	0.20730	liquid
148.69	688.00	431.58	0.0023171	67.894	227.31	0.51397	2.0688	3.1491	1580.7	-0.050562	0.00011119	0.20631	liquid
149.69	688.00	430.67	0.0023220	70.707	230.46	0.53507	2.0657	3.1482	1575.7	-0.050495	0.00010985	0.20533	liquid
150.69	688.00	429.76	0.0023269	73.518	233.61	0.55603	2.0626	3.1473	1570.7	-0.050426	0.00010855	0.20435	liquid
151.69	688.00	428.85	0.0023318	76.326	236.75	0.57684	2.0596	3.1464	1565.8	-0.050357	0.00010727	0.20337	liquid
152.69	688.00	427.95	0.0023367	79.132	239.90	0.59751	2.0566	3.1455	1560.8	-0.050286	0.00010603	0.20240	liquid
153.69	688.00	427.04	0.0023417	81.937	243.04	0.61804	2.0536	3.1446	1555.9	-0.050215	0.00010482	0.20143	liquid
154.69	688.00	426.14	0.0023467	84.739	246.19	0.63843	2.0506	3.1437	1551.0	-0.050142	0.00010364	0.20047	liquid
155.69	688.00	425.24	0.0023516	87.539	249.33	0.65869	2.0477	3.1428	1546.1	-0.050068	0.00010248	0.19951	liquid
156.69	688.00	424.33	0.0023566	90.337	252.47	0.67881	2.0447	3.1419	1541.3	-0.049993	0.00010135	0.19856	liquid
