Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
90.694	928.00	494.32	0.0020230	-103.97	83.767	-1.1492	2.3280	3.1913	1982.5	-0.052916	0.00054396	0.27845	liquid
112.69	928.00	475.00	0.0021053	-41.888	153.48	-0.46085	2.2327	3.1525	1875.7	-0.053161	0.00023618	0.26035	liquid
113.69	928.00	474.14	0.0021091	-39.090	156.63	-0.43301	2.2290	3.1512	1870.8	-0.053156	0.00022998	0.25941	liquid
114.69	928.00	473.28	0.0021129	-36.294	159.78	-0.40542	2.2252	3.1499	1865.9	-0.053151	0.00022410	0.25847	liquid
115.69	928.00	472.42	0.0021167	-33.500	162.93	-0.37808	2.2215	3.1486	1861.1	-0.053145	0.00021853	0.25752	liquid
116.69	928.00	471.57	0.0021206	-30.708	166.08	-0.35099	2.2178	3.1472	1856.2	-0.053138	0.00021324	0.25656	liquid
117.69	928.00	470.72	0.0021244	-27.919	169.23	-0.32414	2.2142	3.1459	1851.3	-0.053131	0.00020822	0.25560	liquid
118.69	928.00	469.86	0.0021283	-25.131	172.37	-0.29753	2.2105	3.1446	1846.4	-0.053123	0.00020345	0.25464	liquid
119.69	928.00	469.01	0.0021321	-22.345	175.52	-0.27115	2.2069	3.1433	1841.6	-0.053115	0.00019891	0.25367	liquid
120.69	928.00	468.16	0.0021360	-19.562	178.66	-0.24501	2.2032	3.1419	1836.7	-0.053106	0.00019458	0.25271	liquid
121.69	928.00	467.32	0.0021399	-16.780	181.80	-0.21909	2.1996	3.1406	1831.9	-0.053097	0.00019046	0.25173	liquid
122.69	928.00	466.47	0.0021438	-14.001	184.94	-0.19339	2.1960	3.1392	1827.1	-0.053088	0.00018652	0.25076	liquid
123.69	928.00	465.62	0.0021477	-11.224	188.08	-0.16791	2.1925	3.1379	1822.3	-0.053078	0.00018277	0.24979	liquid
124.69	928.00	464.78	0.0021516	-8.4486	191.22	-0.14265	2.1889	3.1365	1817.5	-0.053067	0.00017918	0.24881	liquid
125.69	928.00	463.94	0.0021555	-5.6757	194.35	-0.11761	2.1854	3.1351	1812.7	-0.053056	0.00017575	0.24783	liquid
126.69	928.00	463.09	0.0021594	-2.9050	197.49	-0.092767	2.1818	3.1337	1807.9	-0.053045	0.00017246	0.24685	liquid
127.69	928.00	462.25	0.0021633	-0.13648	200.62	-0.068135	2.1783	3.1323	1803.1	-0.053033	0.00016931	0.24587	liquid
128.69	928.00	461.41	0.0021673	2.6298	203.75	-0.043706	2.1748	3.1309	1798.4	-0.053021	0.00016629	0.24489	liquid
129.69	928.00	460.57	0.0021712	5.3939	206.88	-0.019477	2.1713	3.1295	1793.6	-0.053008	0.00016340	0.24391	liquid
130.69	928.00	459.74	0.0021752	8.1557	210.01	0.0045550	2.1679	3.1281	1788.9	-0.052995	0.00016062	0.24292	liquid
131.69	928.00	458.90	0.0021791	10.915	213.14	0.028393	2.1644	3.1267	1784.2	-0.052981	0.00015794	0.24194	liquid
132.69	928.00	458.07	0.0021831	13.673	216.26	0.052040	2.1610	3.1253	1779.5	-0.052967	0.00015537	0.24096	liquid
133.69	928.00	457.23	0.0021871	16.428	219.39	0.075499	2.1576	3.1239	1774.8	-0.052952	0.00015290	0.23998	liquid
134.69	928.00	456.40	0.0021911	19.181	222.51	0.098773	2.1542	3.1224	1770.1	-0.052937	0.00015052	0.23900	liquid
135.69	928.00	455.57	0.0021951	21.931	225.63	0.12186	2.1509	3.1210	1765.5	-0.052921	0.00014822	0.23802	liquid
136.69	928.00	454.74	0.0021991	24.679	228.75	0.14477	2.1475	3.1196	1760.9	-0.052905	0.00014601	0.23705	liquid
137.69	928.00	453.91	0.0022031	27.425	231.87	0.16751	2.1442	3.1181	1756.2	-0.052889	0.00014387	0.23607	liquid
138.69	928.00	453.08	0.0022071	30.169	234.99	0.19007	2.1409	3.1167	1751.6	-0.052872	0.00014181	0.23510	liquid
139.69	928.00	452.25	0.0022112	32.910	238.11	0.21245	2.1376	3.1152	1747.0	-0.052854	0.00013981	0.23412	liquid
140.69	928.00	451.43	0.0022152	35.649	241.22	0.23467	2.1344	3.1138	1742.5	-0.052836	0.00013788	0.23315	liquid
141.69	928.00	450.60	0.0022193	38.386	244.33	0.25672	2.1311	3.1123	1737.9	-0.052817	0.00013602	0.23218	liquid
142.69	928.00	449.78	0.0022233	41.120	247.44	0.27860	2.1279	3.1109	1733.3	-0.052798	0.00013421	0.23122	liquid
143.69	928.00	448.95	0.0022274	43.852	250.55	0.30032	2.1247	3.1094	1728.8	-0.052778	0.00013246	0.23025	liquid
144.69	928.00	448.13	0.0022315	46.582	253.66	0.32188	2.1215	3.1080	1724.3	-0.052758	0.00013076	0.22929	liquid
145.69	928.00	447.31	0.0022356	49.309	256.77	0.34328	2.1184	3.1065	1719.8	-0.052737	0.00012912	0.22833	liquid
146.69	928.00	446.49	0.0022397	52.034	259.88	0.36452	2.1153	3.1051	1715.3	-0.052716	0.00012752	0.22737	liquid
147.69	928.00	445.67	0.0022438	54.756	262.98	0.38561	2.1122	3.1037	1710.9	-0.052694	0.00012597	0.22642	liquid
148.69	928.00	444.85	0.0022479	57.477	266.08	0.40655	2.1091	3.1022	1706.4	-0.052671	0.00012447	0.22547	liquid
149.69	928.00	444.04	0.0022521	60.195	269.19	0.42734	2.1060	3.1008	1702.0	-0.052648	0.00012300	0.22452	liquid
150.69	928.00	443.22	0.0022562	62.910	272.29	0.44798	2.1030	3.0993	1697.6	-0.052624	0.00012158	0.22357	liquid
151.69	928.00	442.41	0.0022604	65.623	275.38	0.46847	2.1000	3.0979	1693.2	-0.052600	0.00012019	0.22263	liquid
152.69	928.00	441.59	0.0022645	68.334	278.48	0.48883	2.0970	3.0965	1688.8	-0.052575	0.00011884	0.22169	liquid
153.69	928.00	440.78	0.0022687	71.042	281.58	0.50903	2.0940	3.0950	1684.4	-0.052549	0.00011753	0.22076	liquid
154.69	928.00	439.97	0.0022729	73.748	284.67	0.52910	2.0911	3.0936	1680.1	-0.052523	0.00011625	0.21983	liquid
155.69	928.00	439.16	0.0022771	76.452	287.76	0.54903	2.0882	3.0922	1675.7	-0.052497	0.00011501	0.21890	liquid
156.69	928.00	438.35	0.0022813	79.154	290.86	0.56882	2.0853	3.0908	1671.4	-0.052469	0.00011379	0.21797	liquid
157.69	928.00	437.54	0.0022855	81.853	293.95	0.58848	2.0825	3.0894	1667.1	-0.052441	0.00011260	0.21705	liquid
158.69	928.00	436.74	0.0022897	84.549	297.03	0.60801	2.0796	3.0880	1662.8	-0.052413	0.00011145	0.21613	liquid
159.69	928.00	435.93	0.0022939	87.243	300.12	0.62740	2.0768	3.0866	1658.6	-0.052383	0.00011031	0.21522	liquid
160.69	928.00	435.12	0.0022982	89.935	303.21	0.64666	2.0740	3.0852	1654.3	-0.052354	0.00010921	0.21431	liquid
161.69	928.00	434.32	0.0023024	92.625	306.29	0.66580	2.0713	3.0838	1650.1	-0.052323	0.00010813	0.21341	liquid
162.69	928.00	433.52	0.0023067	95.312	309.38	0.68481	2.0686	3.0824	1645.9	-0.052292	0.00010708	0.21250	liquid
163.69	928.00	432.71	0.0023110	97.997	312.46	0.70369	2.0659	3.0811	1641.7	-0.052260	0.00010605	0.21161	liquid
164.69	928.00	431.91	0.0023153	100.68	315.54	0.72245	2.0632	3.0797	1637.5	-0.052228	0.00010504	0.21071	liquid
165.69	928.00	431.11	0.0023196	103.36	318.62	0.74109	2.0605	3.0784	1633.4	-0.052195	0.00010405	0.20982	liquid
166.69	928.00	430.31	0.0023239	106.04	321.69	0.75961	2.0579	3.0770	1629.2	-0.052161	0.00010308	0.20894	liquid
167.69	928.00	429.52	0.0023282	108.71	324.77	0.77801	2.0553	3.0757	1625.1	-0.052127	0.00010214	0.20806	liquid
168.69	928.00	428.72	0.0023325	111.39	327.85	0.79629	2.0528	3.0744	1621.0	-0.052091	0.00010121	0.20718	liquid
169.69	928.00	427.92	0.0023369	114.06	330.92	0.81446	2.0502	3.0730	1616.9	-0.052056	0.00010030	0.20631	liquid
170.69	928.00	427.13	0.0023412	116.73	333.99	0.83251	2.0477	3.0717	1612.8	-0.052019	9.9414e-05	0.20544	liquid
171.69	928.00	426.33	0.0023456	119.39	337.06	0.85045	2.0452	3.0704	1608.8	-0.051982	9.8542e-05	0.20458	liquid
172.69	928.00	425.54	0.0023499	122.06	340.13	0.86828	2.0428	3.0691	1604.7	-0.051945	9.7687e-05	0.20372	liquid
173.69	928.00	424.75	0.0023543	124.72	343.20	0.88600	2.0404	3.0679	1600.7	-0.051906	9.6848e-05	0.20287	liquid
174.69	928.00	423.96	0.0023587	127.38	346.27	0.90360	2.0380	3.0666	1596.7	-0.051867	9.6025e-05	0.20202	liquid
175.69	928.00	423.17	0.0023631	130.04	349.33	0.92110	2.0356	3.0653	1592.7	-0.051827	9.5218e-05	0.20118	liquid
176.69	928.00	422.38	0.0023675	132.69	352.40	0.93850	2.0333	3.0641	1588.7	-0.051787	9.4425e-05	0.20034	liquid
177.69	928.00	421.59	0.0023720	135.34	355.46	0.95579	2.0310	3.0629	1584.8	-0.051746	9.3647e-05	0.19950	liquid
178.69	928.00	420.81	0.0023764	138.00	358.52	0.97297	2.0287	3.0616	1580.8	-0.051704	9.2883e-05	0.19867	liquid
179.69	928.00	420.02	0.0023808	140.64	361.59	0.99005	2.0264	3.0604	1576.9	-0.051662	9.2132e-05	0.19784	liquid
180.69	928.00	419.24	0.0023853	143.29	364.65	1.0070	2.0242	3.0592	1573.0	-0.051618	9.1395e-05	0.19702	liquid
181.69	928.00	418.45	0.0023898	145.93	367.70	1.0239	2.0220	3.0580	1569.1	-0.051575	9.0670e-05	0.19621	liquid
182.69	928.00	417.67	0.0023942	148.58	370.76	1.0407	2.0198	3.0568	1565.3	-0.051530	8.9958e-05	0.19539	liquid
183.69	928.00	416.89	0.0023987	151.22	373.82	1.0574	2.0177	3.0557	1561.4	-0.051485	8.9258e-05	0.19459	liquid
184.69	928.00	416.11	0.0024032	153.85	376.87	1.0740	2.0156	3.0545	1557.6	-0.051439	8.8569e-05	0.19378	liquid
185.69	928.00	415.33	0.0024077	156.49	379.93	1.0905	2.0135	3.0534	1553.8	-0.051392	8.7892e-05	0.19299	liquid
186.69	928.00	414.55	0.0024123	159.12	382.98	1.1069	2.0115	3.0522	1550.0	-0.051345	8.7226e-05	0.19219	liquid
187.69	928.00	413.77	0.0024168	161.75	386.03	1.1232	2.0094	3.0511	1546.2	-0.051297	8.6571e-05	0.19141	liquid
188.69	928.00	413.00	0.0024213	164.38	389.08	1.1394	2.0075	3.0500	1542.4	-0.051249	8.5926e-05	0.19062	liquid
189.69	928.00	412.22	0.0024259	167.01	392.13	1.1555	2.0055	3.0489	1538.7	-0.051199	8.5292e-05	0.18985	liquid
190.69	928.00	411.45	0.0024305	169.63	395.18	1.1715	2.0036	3.0478	1534.9	-0.051150	8.4668e-05	0.18907	supercritical
191.69	928.00	410.67	0.0024350	172.26	398.23	1.1874	2.0017	3.0468	1531.2	-0.051099	8.4053e-05	0.18830	supercritical
192.69	928.00	409.90	0.0024396	174.88	401.27	1.2033	1.9998	3.0457	1527.5	-0.051048	8.3448e-05	0.18754	supercritical
193.69	928.00	409.13	0.0024442	177.50	404.32	1.2191	1.9980	3.0447	1523.8	-0.050996	8.2852e-05	0.18678	supercritical
194.69	928.00	408.36	0.0024488	180.11	407.36	1.2347	1.9961	3.0437	1520.2	-0.050943	8.2264e-05	0.18603	supercritical
195.69	928.00	407.59	0.0024534	182.73	410.41	1.2503	1.9944	3.0426	1516.5	-0.050890	8.1686e-05	0.18528	supercritical
196.69	928.00	406.82	0.0024581	185.34	413.45	1.2658	1.9926	3.0416	1512.9	-0.050836	8.1117e-05	0.18453	supercritical
197.69	928.00	406.06	0.0024627	187.95	416.49	1.2813	1.9909	3.0407	1509.3	-0.050781	8.0555e-05	0.18379	supercritical
198.69	928.00	405.29	0.0024674	190.56	419.53	1.2966	1.9892	3.0397	1505.7	-0.050726	8.0002e-05	0.18306	supercritical
199.69	928.00	404.53	0.0024720	193.16	422.57	1.3119	1.9875	3.0387	1502.1	-0.050670	7.9457e-05	0.18233	supercritical
200.69	928.00	403.76	0.0024767	195.77	425.61	1.3270	1.9859	3.0378	1498.5	-0.050613	7.8920e-05	0.18161	supercritical
201.69	928.00	403.00	0.0024814	198.37	428.64	1.3421	1.9843	3.0369	1495.0	-0.050556	7.8391e-05	0.18089	supercritical
202.69	928.00	402.24	0.0024861	200.97	431.68	1.3571	1.9828	3.0360	1491.5	-0.050498	7.7868e-05	0.18017	supercritical
203.69	928.00	401.48	0.0024908	203.57	434.72	1.3721	1.9812	3.0351	1488.0	-0.050439	7.7354e-05	0.17946	supercritical
204.69	928.00	400.72	0.0024955	206.17	437.75	1.3869	1.9797	3.0342	1484.5	-0.050380	7.6846e-05	0.17876	supercritical
205.69	928.00	399.96	0.0025002	208.76	440.78	1.4017	1.9782	3.0333	1481.0	-0.050320	7.6345e-05	0.17806	supercritical
206.69	928.00	399.21	0.0025050	211.36	443.82	1.4164	1.9768	3.0325	1477.5	-0.050259	7.5852e-05	0.17736	supercritical
207.69	928.00	398.45	0.0025097	213.95	446.85	1.4311	1.9754	3.0316	1474.1	-0.050198	7.5364e-05	0.17667	supercritical
