Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
90.694	233.00	465.06	0.0021503	-83.504	-33.403	-0.84641	2.2196	3.2754	1679.3	-0.050952	0.00028183	0.23038	liquid
96.694	233.00	458.15	0.0021827	-64.595	-13.739	-0.63646	2.1853	3.2803	1635.7	-0.050323	0.00022715	0.22417	liquid
97.694	233.00	457.00	0.0021882	-61.443	-10.458	-0.60270	2.1801	3.2815	1628.3	-0.050202	0.00022001	0.22308	liquid
98.694	233.00	455.84	0.0021937	-58.290	-7.1758	-0.56928	2.1750	3.2829	1620.9	-0.050076	0.00021331	0.22199	liquid
99.694	233.00	454.68	0.0021993	-55.137	-3.8922	-0.53617	2.1700	3.2843	1613.5	-0.049947	0.00020699	0.22088	liquid
100.69	233.00	453.52	0.0022050	-51.983	-0.60713	-0.50339	2.1651	3.2858	1606.1	-0.049813	0.00020103	0.21975	liquid
101.69	233.00	452.36	0.0022106	-48.828	2.6795	-0.47091	2.1602	3.2874	1598.7	-0.049676	0.00019540	0.21862	liquid
102.69	233.00	451.20	0.0022163	-45.672	5.9677	-0.43873	2.1554	3.2890	1591.2	-0.049536	0.00019007	0.21748	liquid
103.69	233.00	450.03	0.0022221	-42.516	9.2576	-0.40685	2.1507	3.2907	1583.7	-0.049392	0.00018502	0.21633	liquid
104.69	233.00	448.87	0.0022278	-39.359	12.549	-0.37526	2.1460	3.2924	1576.2	-0.049244	0.00018022	0.21518	liquid
105.69	233.00	447.70	0.0022336	-36.201	15.842	-0.34395	2.1414	3.2942	1568.7	-0.049093	0.00017566	0.21401	liquid
106.69	233.00	446.53	0.0022395	-33.043	19.138	-0.31292	2.1369	3.2960	1561.2	-0.048938	0.00017132	0.21284	liquid
107.69	233.00	445.36	0.0022454	-29.883	22.434	-0.28217	2.1323	3.2978	1553.7	-0.048779	0.00016718	0.21167	liquid
108.69	233.00	444.18	0.0022513	-26.723	25.733	-0.25168	2.1278	3.2996	1546.1	-0.048617	0.00016322	0.21048	liquid
109.69	233.00	443.01	0.0022573	-23.561	29.034	-0.22145	2.1234	3.3015	1538.6	-0.048452	0.00015944	0.20930	liquid
110.69	233.00	441.83	0.0022633	-20.399	32.336	-0.19148	2.1190	3.3034	1531.1	-0.048283	0.00015583	0.20810	liquid
111.69	233.00	440.65	0.0022694	-17.236	35.641	-0.16176	2.1146	3.3053	1523.5	-0.048110	0.00015236	0.20691	liquid
112.69	233.00	439.47	0.0022755	-14.072	38.947	-0.13229	2.1103	3.3073	1515.9	-0.047933	0.00014904	0.20571	liquid
113.69	233.00	438.29	0.0022816	-10.906	42.255	-0.10307	2.1060	3.3093	1508.4	-0.047753	0.00014585	0.20451	liquid
114.69	233.00	437.10	0.0022878	-7.7405	45.565	-0.074079	2.1017	3.3113	1500.8	-0.047569	0.00014278	0.20330	liquid
115.69	233.00	435.91	0.0022940	-4.5735	48.878	-0.045325	2.0974	3.3133	1493.3	-0.047381	0.00013983	0.20209	liquid
116.69	233.00	434.72	0.0023003	-1.4056	52.192	-0.016801	2.0932	3.3153	1485.7	-0.047189	0.00013698	0.20088	liquid
117.69	233.00	433.53	0.0023067	1.7633	55.508	0.011498	2.0890	3.3174	1478.1	-0.046992	0.00013425	0.19967	liquid
118.69	233.00	432.33	0.0023130	4.9332	58.827	0.039574	2.0849	3.3195	1470.6	-0.046792	0.00013160	0.19846	liquid
119.69	233.00	431.14	0.0023195	8.1041	62.147	0.067433	2.0807	3.3216	1463.0	-0.046587	0.00012905	0.19724	liquid
120.69	233.00	429.94	0.0023259	11.276	65.470	0.095078	2.0766	3.3238	1455.5	-0.046378	0.00012659	0.19603	liquid
121.69	233.00	428.73	0.0023325	14.449	68.795	0.12251	2.0726	3.3260	1447.9	-0.046165	0.00012421	0.19481	liquid
122.69	233.00	427.53	0.0023390	17.623	72.122	0.14974	2.0685	3.3282	1440.3	-0.045947	0.00012190	0.19360	liquid
123.69	233.00	426.32	0.0023457	20.798	75.451	0.17677	2.0645	3.3304	1432.8	-0.045724	0.00011967	0.19238	liquid
124.69	233.00	425.11	0.0023523	23.974	78.783	0.20359	2.0605	3.3327	1425.2	-0.045497	0.00011751	0.19117	liquid
125.69	233.00	423.90	0.0023591	27.151	82.117	0.23022	2.0565	3.3350	1417.7	-0.045265	0.00011542	0.18995	liquid
126.69	233.00	422.68	0.0023659	30.329	85.453	0.25666	2.0526	3.3374	1410.1	-0.045028	0.00011339	0.18874	liquid
127.69	233.00	421.46	0.0023727	33.508	88.792	0.28291	2.0487	3.3398	1402.6	-0.044785	0.00011142	0.18753	liquid
128.69	233.00	420.24	0.0023796	36.688	92.133	0.30897	2.0448	3.3422	1395.0	-0.044538	0.00010950	0.18632	liquid
129.69	233.00	419.02	0.0023865	39.870	95.476	0.33485	2.0410	3.3446	1387.5	-0.044285	0.00010764	0.18511	liquid
130.69	233.00	417.79	0.0023935	43.052	98.822	0.36055	2.0372	3.3471	1380.0	-0.044027	0.00010584	0.18390	liquid
131.69	233.00	416.56	0.0024006	46.236	102.17	0.38607	2.0334	3.3497	1372.5	-0.043763	0.00010408	0.18270	liquid
132.69	233.00	415.33	0.0024077	49.421	105.52	0.41142	2.0297	3.3523	1364.9	-0.043494	0.00010237	0.18150	liquid
133.69	233.00	414.09	0.0024149	52.607	108.87	0.43660	2.0259	3.3549	1357.4	-0.043219	0.00010071	0.18030	liquid
134.69	233.00	412.85	0.0024222	55.794	112.23	0.46161	2.0222	3.3576	1349.9	-0.042938	9.9090e-05	0.17910	liquid
135.69	233.00	411.61	0.0024295	58.983	115.59	0.48645	2.0186	3.3603	1342.4	-0.042651	9.7513e-05	0.17791	liquid
136.69	233.00	410.36	0.0024369	62.173	118.95	0.51113	2.0150	3.3630	1334.9	-0.042357	9.5976e-05	0.17672	liquid
137.69	233.00	409.11	0.0024443	65.364	122.32	0.53566	2.0114	3.3659	1327.4	-0.042058	9.4479e-05	0.17553	liquid
138.69	233.00	407.86	0.0024518	68.556	125.68	0.56002	2.0078	3.3687	1320.0	-0.041752	9.3019e-05	0.17434	liquid
139.69	233.00	406.61	0.0024594	71.750	129.05	0.58424	2.0043	3.3717	1312.5	-0.041439	9.1595e-05	0.17316	liquid
140.69	233.00	405.35	0.0024670	74.945	132.43	0.60830	2.0008	3.3746	1305.0	-0.041120	9.0205e-05	0.17198	liquid
141.69	233.00	404.09	0.0024747	78.142	135.80	0.63221	1.9973	3.3777	1297.6	-0.040794	8.8849e-05	0.17081	liquid
142.69	233.00	402.82	0.0024825	81.340	139.18	0.65597	1.9939	3.3807	1290.1	-0.040460	8.7525e-05	0.16964	liquid
143.69	233.00	401.55	0.0024903	84.539	142.56	0.67959	1.9905	3.3839	1282.7	-0.040120	8.6233e-05	0.16847	liquid
144.69	233.00	400.28	0.0024983	87.740	145.95	0.70307	1.9871	3.3871	1275.3	-0.039772	8.4970e-05	0.16731	liquid
145.69	233.00	399.00	0.0025063	90.943	149.34	0.72641	1.9838	3.3903	1267.8	-0.039417	8.3736e-05	0.16615	liquid
146.69	233.00	397.72	0.0025143	94.147	152.73	0.74961	1.9805	3.3937	1260.4	-0.039055	8.2530e-05	0.16500	liquid
147.69	233.00	396.44	0.0025225	97.352	156.13	0.77268	1.9772	3.3970	1253.0	-0.038684	8.1351e-05	0.16385	liquid
148.69	233.00	395.15	0.0025307	100.56	159.52	0.79562	1.9740	3.4005	1245.6	-0.038306	8.0199e-05	0.16271	liquid
149.69	233.00	393.86	0.0025390	103.77	162.93	0.81842	1.9708	3.4040	1238.3	-0.037919	7.9071e-05	0.16157	liquid
150.69	233.00	392.56	0.0025474	106.98	166.33	0.84110	1.9676	3.4076	1230.9	-0.037525	7.7968e-05	0.16043	liquid
151.69	233.00	391.26	0.0025558	110.19	169.74	0.86365	1.9645	3.4112	1223.5	-0.037122	7.6889e-05	0.15930	liquid
152.69	233.00	389.96	0.0025644	113.41	173.16	0.88607	1.9614	3.4149	1216.2	-0.036710	7.5833e-05	0.15817	liquid
153.69	233.00	388.65	0.0025730	116.62	176.57	0.90838	1.9583	3.4187	1208.8	-0.036290	7.4799e-05	0.15705	liquid
154.69	233.00	387.34	0.0025817	119.84	179.99	0.93056	1.9553	3.4226	1201.5	-0.035861	7.3787e-05	0.15594	liquid
155.69	233.00	386.03	0.0025905	123.06	183.42	0.95263	1.9523	3.4265	1194.2	-0.035422	7.2796e-05	0.15483	liquid
156.69	233.00	384.71	0.0025994	126.28	186.85	0.97458	1.9494	3.4305	1186.9	-0.034975	7.1825e-05	0.15372	liquid
157.69	233.00	383.38	0.0026084	129.50	190.28	0.99641	1.9465	3.4345	1179.6	-0.034518	7.0873e-05	0.15262	liquid
