Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
90.694	335.00	470.19	0.0021268	-87.575	-16.327	-0.89862	2.2386	3.2508	1732.4	-0.051636	0.00031998	0.23811	liquid
99.694	335.00	460.35	0.0021723	-59.841	12.930	-0.59104	2.1902	3.2526	1671.9	-0.050943	0.00023007	0.22918	liquid
100.69	335.00	459.25	0.0021775	-56.762	16.183	-0.55858	2.1854	3.2533	1665.0	-0.050849	0.00022302	0.22812	liquid
101.69	335.00	458.16	0.0021827	-53.683	19.437	-0.52642	2.1807	3.2540	1658.2	-0.050751	0.00021638	0.22705	liquid
102.69	335.00	457.06	0.0021879	-50.604	22.691	-0.49458	2.1761	3.2548	1651.3	-0.050651	0.00021012	0.22597	liquid
103.69	335.00	455.96	0.0021932	-47.525	25.946	-0.46303	2.1715	3.2556	1644.4	-0.050547	0.00020421	0.22488	liquid
104.69	335.00	454.86	0.0021985	-44.446	29.202	-0.43178	2.1669	3.2565	1637.6	-0.050442	0.00019861	0.22379	liquid
105.69	335.00	453.76	0.0022038	-41.368	32.459	-0.40082	2.1624	3.2573	1630.7	-0.050334	0.00019331	0.22268	liquid
106.69	335.00	452.67	0.0022091	-38.289	35.717	-0.37015	2.1580	3.2582	1623.8	-0.050223	0.00018828	0.22157	liquid
107.69	335.00	451.56	0.0022145	-35.211	38.976	-0.33975	2.1536	3.2591	1616.9	-0.050110	0.00018350	0.22045	liquid
108.69	335.00	450.46	0.0022199	-32.133	42.235	-0.30962	2.1492	3.2600	1610.0	-0.049994	0.00017896	0.21933	liquid
109.69	335.00	449.36	0.0022254	-29.055	45.496	-0.27976	2.1449	3.2610	1603.1	-0.049876	0.00017463	0.21820	liquid
110.69	335.00	448.26	0.0022309	-25.977	48.757	-0.25016	2.1406	3.2619	1596.2	-0.049756	0.00017051	0.21707	liquid
111.69	335.00	447.15	0.0022364	-22.899	52.020	-0.22082	2.1363	3.2629	1589.3	-0.049633	0.00016657	0.21593	liquid
112.69	335.00	446.05	0.0022419	-19.821	55.283	-0.19173	2.1321	3.2638	1582.3	-0.049508	0.00016280	0.21479	liquid
113.69	335.00	444.94	0.0022475	-16.743	58.547	-0.16290	2.1279	3.2648	1575.4	-0.049380	0.00015920	0.21364	liquid
114.69	335.00	443.84	0.0022531	-13.666	61.812	-0.13430	2.1237	3.2658	1568.5	-0.049250	0.00015576	0.21250	liquid
115.69	335.00	442.73	0.0022587	-10.588	65.079	-0.10595	2.1195	3.2668	1561.6	-0.049117	0.00015245	0.21135	liquid
116.69	335.00	441.62	0.0022644	-7.5109	68.346	-0.077828	2.1154	3.2677	1554.7	-0.048982	0.00014928	0.21019	liquid
117.69	335.00	440.51	0.0022701	-4.4338	71.614	-0.049940	2.1113	3.2687	1547.8	-0.048844	0.00014624	0.20904	liquid
118.69	335.00	439.40	0.0022758	-1.3569	74.883	-0.022280	2.1073	3.2697	1541.0	-0.048703	0.00014331	0.20788	liquid
119.69	335.00	438.29	0.0022816	1.7199	78.154	0.0051562	2.1032	3.2707	1534.1	-0.048560	0.00014049	0.20672	liquid
120.69	335.00	437.17	0.0022874	4.7965	81.425	0.032373	2.0992	3.2717	1527.2	-0.048414	0.00013778	0.20557	liquid
121.69	335.00	436.06	0.0022933	7.8729	84.697	0.059373	2.0952	3.2728	1520.3	-0.048266	0.00013516	0.20441	liquid
122.69	335.00	434.94	0.0022991	10.949	87.970	0.086160	2.0913	3.2738	1513.5	-0.048115	0.00013264	0.20325	liquid
123.69	335.00	433.83	0.0023051	14.025	91.245	0.11274	2.0873	3.2748	1506.6	-0.047960	0.00013021	0.20209	liquid
124.69	335.00	432.71	0.0023110	17.101	94.520	0.13911	2.0834	3.2758	1499.8	-0.047803	0.00012786	0.20093	liquid
125.69	335.00	431.59	0.0023170	20.176	97.796	0.16528	2.0795	3.2769	1492.9	-0.047643	0.00012558	0.19978	liquid
126.69	335.00	430.47	0.0023230	23.252	101.07	0.19125	2.0757	3.2780	1486.1	-0.047480	0.00012339	0.19862	liquid
127.69	335.00	429.35	0.0023291	26.327	104.35	0.21703	2.0719	3.2790	1479.3	-0.047314	0.00012126	0.19747	liquid
128.69	335.00	428.22	0.0023352	29.402	107.63	0.24261	2.0681	3.2801	1472.5	-0.047145	0.00011920	0.19631	liquid
129.69	335.00	427.10	0.0023414	32.476	110.91	0.26801	2.0643	3.2812	1465.7	-0.046973	0.00011720	0.19516	liquid
130.69	335.00	425.97	0.0023476	35.551	114.19	0.29321	2.0605	3.2823	1458.9	-0.046797	0.00011527	0.19401	liquid
131.69	335.00	424.85	0.0023538	38.625	117.48	0.31823	2.0568	3.2834	1452.1	-0.046618	0.00011339	0.19286	liquid
132.69	335.00	423.72	0.0023601	41.699	120.76	0.34308	2.0531	3.2845	1445.3	-0.046436	0.00011157	0.19172	liquid
133.69	335.00	422.59	0.0023664	44.773	124.05	0.36774	2.0494	3.2857	1438.6	-0.046250	0.00010980	0.19057	liquid
134.69	335.00	421.45	0.0023727	47.846	127.33	0.39223	2.0458	3.2868	1431.8	-0.046061	0.00010808	0.18943	liquid
135.69	335.00	420.32	0.0023791	50.919	130.62	0.41655	2.0422	3.2880	1425.1	-0.045869	0.00010641	0.18830	liquid
136.69	335.00	419.19	0.0023856	53.992	133.91	0.44069	2.0386	3.2892	1418.4	-0.045673	0.00010478	0.18716	liquid
137.69	335.00	418.05	0.0023921	57.065	137.20	0.46467	2.0351	3.2904	1411.7	-0.045473	0.00010320	0.18603	liquid
138.69	335.00	416.91	0.0023986	60.137	140.49	0.48849	2.0315	3.2917	1405.0	-0.045269	0.00010166	0.18490	liquid
139.69	335.00	415.77	0.0024052	63.209	143.78	0.51214	2.0281	3.2929	1398.3	-0.045062	0.00010016	0.18378	liquid
140.69	335.00	414.63	0.0024118	66.281	147.08	0.53563	2.0246	3.2942	1391.7	-0.044851	9.8702e-05	0.18266	liquid
141.69	335.00	413.49	0.0024184	69.353	150.37	0.55897	2.0212	3.2955	1385.0	-0.044636	9.7279e-05	0.18154	liquid
142.69	335.00	412.35	0.0024251	72.424	153.67	0.58215	2.0178	3.2968	1378.4	-0.044418	9.5892e-05	0.18043	liquid
143.69	335.00	411.20	0.0024319	75.495	156.96	0.60518	2.0144	3.2981	1371.8	-0.044195	9.4539e-05	0.17932	liquid
144.69	335.00	410.05	0.0024387	78.566	160.26	0.62806	2.0110	3.2995	1365.1	-0.043968	9.3220e-05	0.17821	liquid
145.69	335.00	408.90	0.0024456	81.636	163.56	0.65078	2.0077	3.3009	1358.6	-0.043737	9.1932e-05	0.17711	liquid
146.69	335.00	407.75	0.0024525	84.707	166.86	0.67337	2.0044	3.3023	1352.0	-0.043502	9.0675e-05	0.17601	liquid
147.69	335.00	406.60	0.0024594	87.777	170.17	0.69581	2.0012	3.3037	1345.4	-0.043263	8.9447e-05	0.17492	liquid
148.69	335.00	405.45	0.0024664	90.847	173.47	0.71811	1.9980	3.3051	1338.9	-0.043019	8.8248e-05	0.17383	liquid
149.69	335.00	404.29	0.0024735	93.917	176.78	0.74026	1.9948	3.3066	1332.4	-0.042771	8.7077e-05	0.17275	liquid
150.69	335.00	403.13	0.0024806	96.986	180.08	0.76229	1.9916	3.3081	1325.8	-0.042519	8.5932e-05	0.17167	liquid
151.69	335.00	401.98	0.0024877	100.06	183.39	0.78417	1.9885	3.3096	1319.3	-0.042262	8.4813e-05	0.17060	liquid
152.69	335.00	400.81	0.0024949	103.12	186.70	0.80592	1.9854	3.3112	1312.9	-0.042001	8.3718e-05	0.16953	liquid
153.69	335.00	399.65	0.0025022	106.19	190.02	0.82754	1.9823	3.3128	1306.4	-0.041735	8.2648e-05	0.16847	liquid
154.69	335.00	398.49	0.0025095	109.26	193.33	0.84903	1.9793	3.3144	1300.0	-0.041464	8.1601e-05	0.16741	liquid
155.69	335.00	397.32	0.0025169	112.33	196.64	0.87039	1.9763	3.3160	1293.5	-0.041189	8.0576e-05	0.16636	liquid
156.69	335.00	396.15	0.0025243	115.40	199.96	0.89163	1.9734	3.3176	1287.1	-0.040909	7.9573e-05	0.16531	liquid
157.69	335.00	394.98	0.0025318	118.47	203.28	0.91274	1.9704	3.3193	1280.7	-0.040624	7.8592e-05	0.16427	liquid
158.69	335.00	393.81	0.0025393	121.53	206.60	0.93373	1.9675	3.3210	1274.4	-0.040334	7.7630e-05	0.16323	liquid
159.69	335.00	392.64	0.0025469	124.60	209.92	0.95459	1.9647	3.3228	1268.0	-0.040040	7.6689e-05	0.16220	liquid
160.69	335.00	391.46	0.0025545	127.67	213.25	0.97534	1.9618	3.3245	1261.7	-0.039740	7.5767e-05	0.16117	liquid
161.69	335.00	390.29	0.0025622	130.74	216.57	0.99597	1.9590	3.3263	1255.4	-0.039435	7.4863e-05	0.16015	liquid
162.69	335.00	389.11	0.0025700	133.80	219.90	1.0165	1.9563	3.3281	1249.1	-0.039126	7.3978e-05	0.15914	liquid
163.69	335.00	387.93	0.0025778	136.87	223.23	1.0369	1.9535	3.3300	1242.8	-0.038811	7.3110e-05	0.15813	liquid
164.69	335.00	386.74	0.0025857	139.94	226.56	1.0572	1.9508	3.3318	1236.6	-0.038491	7.2259e-05	0.15712	liquid
165.69	335.00	385.56	0.0025936	143.00	229.89	1.0773	1.9482	3.3337	1230.3	-0.038165	7.1425e-05	0.15612	liquid
166.69	335.00	384.37	0.0026016	146.07	233.23	1.0974	1.9455	3.3356	1224.1	-0.037835	7.0607e-05	0.15513	liquid
167.69	335.00	383.18	0.0026097	149.14	236.56	1.1174	1.9429	3.3376	1217.9	-0.037499	6.9804e-05	0.15415	liquid
168.69	335.00	381.99	0.0026178	152.20	239.90	1.1372	1.9404	3.3395	1211.8	-0.037157	6.9017e-05	0.15317	liquid
169.69	335.00	380.80	0.0026260	155.27	243.24	1.1570	1.9378	3.3415	1205.6	-0.036810	6.8245e-05	0.15219	liquid
170.69	335.00	379.61	0.0026343	158.34	246.58	1.1766	1.9353	3.3436	1199.5	-0.036458	6.7487e-05	0.15123	liquid
171.69	335.00	378.41	0.0026426	161.40	249.93	1.1961	1.9329	3.3456	1193.4	-0.036100	6.6744e-05	0.15026	liquid
172.69	335.00	377.22	0.0026510	164.47	253.28	1.2156	1.9304	3.3477	1187.3	-0.035736	6.6014e-05	0.14931	liquid
173.69	335.00	376.02	0.0026595	167.53	256.62	1.2349	1.9280	3.3498	1181.2	-0.035367	6.5297e-05	0.14836	liquid
174.69	335.00	374.81	0.0026680	170.60	259.97	1.2541	1.9257	3.3519	1175.2	-0.034992	6.4593e-05	0.14742	liquid
175.69	335.00	373.61	0.0026766	173.66	263.33	1.2733	1.9233	3.3540	1169.2	-0.034612	6.3902e-05	0.14648	liquid
176.69	335.00	372.41	0.0026852	176.73	266.68	1.2923	1.9210	3.3562	1163.2	-0.034225	6.3224e-05	0.14555	liquid
177.69	335.00	371.20	0.0026940	179.79	270.04	1.3113	1.9188	3.3584	1157.2	-0.033833	6.2557e-05	0.14462	liquid
178.69	335.00	369.99	0.0027028	182.86	273.40	1.3301	1.9165	3.3606	1151.3	-0.033435	6.1902e-05	0.14371	liquid
179.69	335.00	368.78	0.0027116	185.92	276.76	1.3489	1.9144	3.3629	1145.4	-0.033030	6.1259e-05	0.14279	liquid
180.69	335.00	367.57	0.0027206	188.99	280.13	1.3676	1.9122	3.3651	1139.5	-0.032620	6.0627e-05	0.14189	liquid
181.69	335.00	366.35	0.0027296	192.05	283.49	1.3861	1.9101	3.3674	1133.6	-0.032204	6.0005e-05	0.14099	liquid
182.69	335.00	365.14	0.0027387	195.11	286.86	1.4046	1.9080	3.3697	1127.8	-0.031782	5.9395e-05	0.14010	liquid
183.69	335.00	363.92	0.0027479	198.18	290.23	1.4230	1.9059	3.3720	1122.0	-0.031354	5.8794e-05	0.13922	liquid
184.69	335.00	362.70	0.0027571	201.24	293.60	1.4413	1.9039	3.3744	1116.2	-0.030920	5.8204e-05	0.13834	liquid
185.69	335.00	361.48	0.0027664	204.30	296.98	1.4596	1.9019	3.3767	1110.4	-0.030479	5.7624e-05	0.13747	liquid
186.69	335.00	360.25	0.0027758	207.37	300.36	1.4777	1.9000	3.3791	1104.7	-0.030033	5.7054e-05	0.13660	liquid
187.69	335.00	359.03	0.0027853	210.43	303.74	1.4958	1.8980	3.3815	1099.0	-0.029580	5.6493e-05	0.13575	liquid
188.69	335.00	357.80	0.0027948	213.49	307.12	1.5137	1.8961	3.3839	1093.3	-0.029121	5.5941e-05	0.13490	liquid
189.69	335.00	356.57	0.0028045	216.56	310.51	1.5316	1.8943	3.3863	1087.6	-0.028656	5.5399e-05	0.13406	liquid
190.69	335.00	355.34	0.0028142	219.62	313.89	1.5494	1.8925	3.3887	1082.0	-0.028185	5.4865e-05	0.13324	supercritical
191.69	335.00	354.11	0.0028240	222.68	317.28	1.5672	1.8907	3.3912	1076.4	-0.027707	5.4340e-05	0.13239	supercritical
192.69	335.00	352.88	0.0028338	225.74	320.68	1.5848	1.8889	3.3936	1070.9	-0.027224	5.3823e-05	0.13156	supercritical
193.69	335.00	351.64	0.0028438	228.80	324.07	1.6024	1.8872	3.3961	1065.3	-0.026734	5.3315e-05	0.13073	supercritical
194.69	335.00	350.41	0.0028538	231.86	327.47	1.6199	1.8856	3.3986	1059.8	-0.026237	5.2814e-05	0.12992	supercritical
195.69	335.00	349.17	0.0028639	234.93	330.87	1.6373	1.8839	3.4011	1054.3	-0.025735	5.2322e-05	0.12911	supercritical
196.69	335.00	347.93	0.0028742	237.99	334.27	1.6546	1.8823	3.4035	1048.9	-0.025226	5.1838e-05	0.12830	supercritical
197.69	335.00	346.69	0.0028844	241.05	337.67	1.6719	1.8807	3.4060	1043.5	-0.024711	5.1361e-05	0.12751	supercritical
198.69	335.00	345.44	0.0028948	244.11	341.08	1.6891	1.8792	3.4085	1038.1	-0.024189	5.0891e-05	0.12672	supercritical
199.69	335.00	344.20	0.0029053	247.17	344.49	1.7062	1.8777	3.4110	1032.7	-0.023662	5.0429e-05	0.12594	supercritical
200.69	335.00	342.96	0.0029158	250.22	347.90	1.7233	1.8762	3.4135	1027.4	-0.023128	4.9974e-05	0.12516	supercritical
201.69	335.00	341.71	0.0029265	253.28	351.32	1.7402	1.8747	3.4161	1022.1	-0.022588	4.9526e-05	0.12439	supercritical
